C5.42,10.775114270,106.585976810,-1.3328
C5.43,10.775287424,106.586244657,-1.3323
CS.C6,10.773147043,106.578843408,-1.3528
C6.01,10.769223702,106.575575353,-1.356
C6.02,10.769453810,106.575779535,-1.3558
C6.03,10.769652197,106.576016984,-1.3554
C6.04,10.769850583,106.576254434,-1.355
C6.05,10.770051280,106.576489759,-1.3546
C6.06,10.770313309,106.576646539,-1.3546
C6.07,10.770617548,106.576668023,-1.3551
C6.08,10.770924329,106.576654743,-1.3558
C6.09,10.771225350,106.576713340,-1.3562
C6.10,10.771501496,106.576847969,-1.3563
C6.11,10.771738864,106.577044876,-1.3561
C6.12,10.771963671,106.577249466,-1.3558
C6.13,10.772189417,106.577454845,-1.3556
C6.14,10.772422567,106.577670394,-1.3553
C6.15,10.772614466,106.577888775,-1.355
C6.16,10.772781928,106.578141166,-1.3545
C6.17,10.772928515,106.578420793,-1.3538
C6.18,10.773074047,106.578702246,-1.3532
C6.19,10.773220147,106.578984524,-1.3525
C6.20,10.773359748,106.579239336,-1.3519
C6.21,10.773573718,106.579503422,-1.3515
C6.22,10.773813833,106.579696683,-1.3513
C6.23,10.774070715,106.579867397,-1.3512
C6.24,10.774327597,106.580038111,-1.3512
C6.25,10.774584478,106.580208826,-1.3511
C6.26,10.774831714,106.580393092,-1.351
C6.27,10.775048839,106.580612707,-1.3506
C6.28,10.775230516,106.580863092,-1.3502
C6.29,10.775372528,106.581138458,-1.3495
C6.30,10.775471592,106.581432433,-1.3487
C6.31,10.775525412,106.581738197,-1.3478
C6.32,10.775532742,106.582048679,-1.3468
C6.33,10.775493420,106.582356692,-1.3457
C6.34,10.775427603,106.582660354,-1.3445
C6.35,10.775359719,106.582972915,-1.3434
C6.36,10.775291445,106.583285393,-1.3422
C6.37,10.775222954,106.583597824,-1.341
C6.38,10.775159037,106.583897211,-1.3399
C6.39,10.775113707,106.584199886,-1.3388
C6.40,10.775103562,106.584505839,-1.3377
C6.41,10.775128750,106.584810902,-1.3368
C6.42,10.775188929,106.585110914,-1.3359
C6.43,10.775283270,106.585401795,-1.3351
C6.44,10.775410471,106.585679545,-1.3344
C6.45,10.775568709,106.585940521,-1.3338
